user_id,transaction_amount,transaction_time,merchant,description,category
user_0790,27.13,2024-11-06 06:33:00,Bank Transfer,Bank Transfer,Transfer
user_0378,471.07,2024-04-29 00:16:00,Pharmacy,Pharmacy purchase,Healthcare
user_0184,278.37,2024-02-18 11:10:00,Payroll,Payroll,Salary
user_0621,232.3,2024-09-26 01:59:00,PG&E,PG&E purchase,Utilities
user_0299,78.75,2024-07-19 20:49:00,Housing Co.,Housing Co. purchase,Rent/Mortgage
user_0043,323.96,2024-12-13 02:19:00,PG&E,PG&E purchase,Utilities
user_0151,57.28,2024-08-10 11:14:00,Whole Foods,Whole Foods purchase,Groceries
user_0155,212.39,2024-01-14 00:28:00,Bus Ticket,Bus Ticket purchase,Transport
user_0521,450.13,2024-02-24 03:48:00,Rent Payment,Rent Payment purchase,Rent/Mortgage
user_0340,262.35,2024-07-04 16:04:00,Doctor Visit,Doctor Visit purchase,Healthcare
user_0607,171.39,2024-07-20 13:06:00,Bus Ticket,Bus Ticket purchase,Transport
user_0501,51.86,2024-04-29 00:16:00,Misc,Misc purchase,Other
user_0640,396.07,2024-10-29 06:41:00,P2P Transfer,P2P Transfer,Transfer
user_0086,497.43,2024-02-08 06:26:00,PG&E,PG&E purchase,Utilities
user_0623,379.63,2024-12-12 20:00:00,Doctor Visit,Doctor Visit purchase,Healthcare
user_0741,408.66,2024-09-06 05:33:00,Local Grocer,Local Grocer purchase,Groceries
user_0973,481.52,2024-06-22 10:08:00,Electricity Co.,Electricity Co. purchase,Utilities
user_0101,164.04,2024-05-30 02:19:00,Hospital,Hospital purchase,Healthcare
user_0095,388.92,2024-04-28 05:30:00,Freelance Income,Freelance Income,Salary
user_0201,336.97,2024-03-25 00:05:00,Gas Company,Gas Company purchase,Utilities
user_0977,195.86,2024-03-28 05:14:00,Target,Target purchase,Groceries
user_0801,24.52,2024-03-14 01:06:00,Lyft,Lyft purchase,Transport
user_0219,149.38,2024-08-05 12:02:00,Landlord,Landlord purchase,Rent/Mortgage
user_0675,145.07,2024-05-16 02:17:00,P2P Transfer,P2P Transfer,Transfer
user_0546,12.66,2024-08-03 15:52:00,Bank Transfer,Bank Transfer,Transfer
user_0199,57.92,2024-06-14 09:33:00,Taxi,Taxi purchase,Transport
user_0744,144.54,2024-06-08 08:14:00,Bank Transfer,Bank Transfer,Transfer
user_0074,24.25,2024-05-28 05:04:00,Freelance Income,Freelance Income,Salary
user_0013,242.3,2024-05-06 23:34:00,Various,Various purchase,Other
user_0026,251.65,2024-08-04 04:22:00,Con Edison,Con Edison purchase,Utilities
user_0278,304.72,2024-06-06 22:29:00,Trader Joe's,Trader Joe's purchase,Groceries
user_0977,231.07,2024-10-09 10:01:00,Housing Co.,Housing Co. purchase,Rent/Mortgage
user_0065,274.39,2024-07-02 14:14:00,Rent Payment,Rent Payment purchase,Rent/Mortgage
user_0512,208.05,2024-08-17 08:41:00,Water Bill,Water Bill purchase,Utilities
user_0254,31.11,2024-10-11 00:51:00,Department Store,Department Store purchase,Shopping
user_0473,135.77,2024-07-21 15:30:00,Misc,Misc purchase,Other
user_0609,344.99,2024-11-06 20:02:00,H&M,H&M purchase,Shopping
user_0157,336.96,2024-02-05 23:36:00,Payroll,Payroll,Salary
user_0471,472.49,2024-09-09 13:37:00,P2P Transfer,P2P Transfer,Transfer
user_0908,255.08,2024-10-01 04:45:00,Whole Foods,Whole Foods purchase,Groceries
user_0030,340.92,2024-12-04 07:25:00,Gaming Store,Gaming Store purchase,Entertainment
user_0593,57.87,2024-01-04 00:55:00,Gas Station,Gas Station purchase,Transport
user_0486,216.54,2024-10-24 13:30:00,P2P Transfer,P2P Transfer,Transfer
user_0004,95.36,2024-11-28 01:31:00,Spotify,Spotify purchase,Entertainment
user_0358,310.64,2024-02-01 05:49:00,P2P Transfer,P2P Transfer,Transfer
user_0875,97.99,2024-09-03 18:41:00,Taxi,Taxi purchase,Transport
user_0201,216.94,2024-06-12 22:21:00,Payroll,Payroll,Salary
user_0539,472.73,2024-10-20 19:47:00,Online Shop,Online Shop purchase,Shopping
user_0350,279.03,2024-07-25 18:24:00,Bus Ticket,Bus Ticket purchase,Transport
user_0095,167.56,2024-01-19 16:07:00,Employer,Employer,Salary
user_0866,74.05,2024-11-13 02:11:00,Employer,Employer,Salary
user_0574,473.53,2024-12-17 13:39:00,Uber,Uber purchase,Transport
user_0783,353.37,2024-07-04 00:32:00,Freelance Income,Freelance Income,Salary
user_0461,40.0,2024-12-05 16:31:00,Con Edison,Con Edison purchase,Utilities
user_0800,51.23,2024-08-01 13:30:00,Bank Transfer,Bank Transfer,Transfer
user_0133,329.6,2024-10-17 14:02:00,Landlord,Landlord purchase,Rent/Mortgage
user_0518,378.64,2024-08-10 18:50:00,Payroll,Payroll,Salary
user_0373,329.48,2024-01-13 03:28:00,Lyft,Lyft purchase,Transport
user_0260,386.02,2024-08-08 23:19:00,Freelance Income,Freelance Income,Salary
user_0365,375.21,2024-01-18 17:10:00,Doctor Visit,Doctor Visit purchase,Healthcare
user_0884,444.37,2024-01-06 17:47:00,PG&E,PG&E purchase,Utilities
user_0137,342.02,2024-07-24 09:19:00,Freelance Income,Freelance Income,Salary
user_0065,327.25,2024-04-26 14:09:00,Con Edison,Con Edison purchase,Utilities
user_0059,311.71,2024-09-06 23:38:00,Taxi,Taxi purchase,Transport
user_0003,94.06,2024-06-21 23:25:00,Kroger,Kroger purchase,Groceries
user_0246,58.9,2024-03-08 03:06:00,Electricity Co.,Electricity Co. purchase,Utilities
user_0385,44.36,2024-04-30 04:29:00,Doctor Visit,Doctor Visit purchase,Healthcare
user_0334,91.06,2024-05-24 22:22:00,Mortgage,Mortgage purchase,Rent/Mortgage
user_0680,465.42,2024-06-22 19:16:00,Employer,Employer,Salary
user_0234,277.0,2024-11-11 23:48:00,P2P Transfer,P2P Transfer,Transfer
user_0684,89.01,2024-07-24 16:58:00,P2P Transfer,P2P Transfer,Transfer
user_0133,334.0,2024-10-08 07:04:00,Spotify,Spotify purchase,Entertainment
user_0332,125.61,2024-02-25 00:15:00,Landlord,Landlord purchase,Rent/Mortgage
user_0589,371.98,2024-08-21 23:48:00,Lyft,Lyft purchase,Transport
user_0616,92.28,2024-04-01 21:53:00,Rent Payment,Rent Payment purchase,Rent/Mortgage
user_0137,86.2,2024-03-22 18:01:00,Gaming Store,Gaming Store purchase,Entertainment
user_0356,213.26,2024-12-05 14:40:00,Water Bill,Water Bill purchase,Utilities
user_0142,200.49,2024-09-28 15:31:00,Payroll,Payroll,Salary
user_0123,149.18,2024-12-25 19:06:00,Dentist,Dentist purchase,Healthcare
user_0150,89.33,2024-02-08 21:20:00,Bus Ticket,Bus Ticket purchase,Transport
user_0878,423.28,2024-12-12 23:59:00,Bus Ticket,Bus Ticket purchase,Transport
user_0469,247.38,2024-03-23 22:10:00,Mortgage,Mortgage purchase,Rent/Mortgage
user_0181,98.82,2024-01-09 11:17:00,Rent Payment,Rent Payment purchase,Rent/Mortgage
user_0512,64.37,2024-08-08 05:57:00,Local Grocer,Local Grocer purchase,Groceries
user_0690,429.62,2024-04-28 12:13:00,Bus Ticket,Bus Ticket purchase,Transport
user_0871,408.85,2024-12-30 10:56:00,PG&E,PG&E purchase,Utilities
user_0394,31.46,2024-10-18 06:35:00,PG&E,PG&E purchase,Utilities
user_0045,22.91,2024-03-13 04:21:00,Water Bill,Water Bill purchase,Utilities
user_0463,479.88,2024-10-21 18:34:00,Bank Transfer,Bank Transfer,Transfer
user_0386,405.05,2024-02-06 18:22:00,Hospital,Hospital purchase,Healthcare
user_0687,101.58,2024-01-18 05:48:00,PG&E,PG&E purchase,Utilities
user_0722,51.74,2024-07-04 17:29:00,Uncategorized,Uncategorized purchase,Other
user_0866,397.35,2024-03-12 02:59:00,Spotify,Spotify purchase,Entertainment
user_0256,327.86,2024-06-06 19:46:00,Water Bill,Water Bill purchase,Utilities
user_0976,16.08,2024-10-29 06:21:00,H&M,H&M purchase,Shopping
user_0787,406.42,2024-10-30 04:44:00,Payroll,Payroll,Salary
user_0241,364.52,2024-02-25 08:45:00,Spotify,Spotify purchase,Entertainment
user_0434,240.76,2024-11-21 23:17:00,Concert Tickets,Concert Tickets purchase,Entertainment
user_0771,242.93,2024-08-17 07:38:00,Zara,Zara purchase,Shopping
user_0660,480.97,2024-06-21 07:54:00,Gas Station,Gas Station purchase,Transport
user_0365,211.21,2024-05-14 02:04:00,Freelance Income,Freelance Income,Salary
user_0647,261.38,2024-06-04 18:44:00,Restaurant,Restaurant purchase,Entertainment
user_0645,270.26,2024-09-02 03:36:00,P2P Transfer,P2P Transfer,Transfer
user_0503,413.0,2024-08-15 00:22:00,Various,Various purchase,Other
user_0613,271.03,2024-03-26 17:46:00,Payroll,Payroll,Salary
user_0462,89.64,2024-12-05 12:20:00,Spotify,Spotify purchase,Entertainment
user_0633,195.91,2024-08-28 17:47:00,Uncategorized,Uncategorized purchase,Other
user_0989,258.13,2024-11-07 07:32:00,Whole Foods,Whole Foods purchase,Groceries
user_0205,452.12,2024-11-15 10:40:00,Landlord,Landlord purchase,Rent/Mortgage
user_0600,469.24,2024-08-18 05:13:00,Misc,Misc purchase,Other
user_0507,163.76,2024-12-07 21:50:00,Freelance Income,Freelance Income,Salary
user_0913,111.89,2024-05-18 22:59:00,Uncategorized,Uncategorized purchase,Other
user_0537,461.91,2024-09-25 06:20:00,Bank Transfer,Bank Transfer,Transfer
user_0401,290.6,2024-01-23 12:27:00,P2P Transfer,P2P Transfer,Transfer
user_0351,498.42,2024-08-09 17:22:00,Hospital,Hospital purchase,Healthcare
user_0672,185.41,2024-01-28 17:50:00,Con Edison,Con Edison purchase,Utilities
user_0583,67.27,2024-05-27 14:43:00,Misc,Misc purchase,Other
user_0758,124.76,2024-08-31 02:42:00,Con Edison,Con Edison purchase,Utilities
user_0836,328.77,2024-12-30 06:56:00,Various,Various purchase,Other
user_0039,27.53,2024-01-25 14:02:00,Water Bill,Water Bill purchase,Utilities
user_0995,472.8,2024-11-28 07:23:00,Electricity Co.,Electricity Co. purchase,Utilities
user_0599,72.23,2024-07-07 02:50:00,Local Grocer,Local Grocer purchase,Groceries
user_0195,335.25,2024-12-03 23:37:00,P2P Transfer,P2P Transfer,Transfer
user_0308,286.94,2024-12-21 15:00:00,Various,Various purchase,Other
user_0931,52.68,2024-01-05 12:50:00,Bank Transfer,Bank Transfer,Transfer
user_0762,431.46,2024-05-20 08:28:00,Target,Target purchase,Groceries
user_0936,14.79,2024-11-25 05:51:00,Bar,Bar purchase,Entertainment
user_0160,302.62,2024-12-11 16:05:00,Electricity Co.,Electricity Co. purchase,Utilities
user_0762,232.75,2024-08-25 10:29:00,Landlord,Landlord purchase,Rent/Mortgage
user_0602,337.79,2024-11-10 12:01:00,Uncategorized,Uncategorized purchase,Other
user_0089,66.86,2024-01-31 10:05:00,Amazon,Amazon purchase,Shopping
user_0187,339.85,2024-05-26 18:13:00,Electricity Co.,Electricity Co. purchase,Utilities
user_0428,53.28,2024-09-15 12:38:00,Bar,Bar purchase,Entertainment
user_0652,37.02,2024-10-21 21:09:00,Hospital,Hospital purchase,Healthcare
user_0465,314.72,2024-01-21 23:59:00,Misc,Misc purchase,Other
user_0787,245.26,2024-03-29 04:02:00,Target,Target purchase,Groceries
user_0504,171.03,2024-02-12 12:41:00,Payroll,Payroll,Salary
user_0020,65.25,2024-03-02 18:37:00,PG&E,PG&E purchase,Utilities
user_0440,219.29,2024-05-26 03:15:00,Restaurant,Restaurant purchase,Entertainment
user_0560,454.76,2024-12-26 20:29:00,Landlord,Landlord purchase,Rent/Mortgage
user_0542,363.87,2024-12-02 23:19:00,Cinema,Cinema purchase,Entertainment
user_0081,327.25,2024-09-26 20:12:00,Doctor Visit,Doctor Visit purchase,Healthcare
user_0374,437.04,2024-03-13 21:41:00,P2P Transfer,P2P Transfer,Transfer
user_0739,359.43,2024-03-09 21:22:00,Concert Tickets,Concert Tickets purchase,Entertainment
user_0083,310.19,2024-04-03 17:06:00,Target,Target purchase,Groceries
user_0402,465.91,2024-10-24 06:39:00,Hospital,Hospital purchase,Healthcare
user_0973,78.31,2024-01-08 09:19:00,Kroger,Kroger purchase,Groceries
user_0260,115.93,2024-08-17 01:49:00,Local Grocer,Local Grocer purchase,Groceries
user_0249,46.47,2024-07-20 03:37:00,Misc,Misc purchase,Other
user_0331,499.56,2024-04-28 12:15:00,Various,Various purchase,Other
user_0612,221.99,2024-04-17 21:18:00,Netflix,Netflix purchase,Entertainment
user_0076,107.67,2024-12-30 20:48:00,Lyft,Lyft purchase,Transport
user_0267,16.21,2024-02-18 16:00:00,Freelance Income,Freelance Income,Salary
user_0654,94.22,2024-09-04 03:10:00,Landlord,Landlord purchase,Rent/Mortgage
user_0005,163.39,2024-08-16 22:44:00,Target,Target purchase,Groceries
user_0621,148.61,2024-03-22 09:04:00,Metro,Metro purchase,Transport
user_0092,12.99,2024-08-31 00:09:00,Metro,Metro purchase,Transport
user_0797,23.02,2024-08-13 01:04:00,Freelance Income,Freelance Income,Salary
user_0410,440.7,2024-01-12 11:55:00,Water Bill,Water Bill purchase,Utilities
user_0436,158.59,2024-07-13 20:12:00,Employer,Employer,Salary
user_0096,173.91,2024-11-13 13:38:00,Amazon,Amazon purchase,Shopping
user_0237,183.89,2024-07-07 18:47:00,Con Edison,Con Edison purchase,Utilities
user_0401,198.73,2024-01-14 16:58:00,Misc,Misc purchase,Other
user_0905,451.79,2024-08-17 05:32:00,Taxi,Taxi purchase,Transport
user_0349,252.96,2024-11-11 01:07:00,Payroll,Payroll,Salary
user_0083,327.91,2024-12-07 13:57:00,Zara,Zara purchase,Shopping
user_0397,121.85,2024-12-10 09:09:00,Doctor Visit,Doctor Visit purchase,Healthcare
user_0973,310.91,2024-09-03 23:02:00,Uncategorized,Uncategorized purchase,Other
user_0102,482.1,2024-05-21 09:24:00,PG&E,PG&E purchase,Utilities
user_0742,440.72,2024-05-23 11:09:00,Landlord,Landlord purchase,Rent/Mortgage
user_0278,199.41,2024-03-15 11:25:00,Misc,Misc purchase,Other
user_0686,415.75,2024-02-14 10:44:00,Amazon,Amazon purchase,Shopping
user_0821,203.94,2024-01-19 12:25:00,Online Shop,Online Shop purchase,Shopping
user_0962,242.58,2024-08-16 08:02:00,Hospital,Hospital purchase,Healthcare
user_0564,491.54,2024-07-07 15:34:00,Bank Transfer,Bank Transfer,Transfer
user_0868,17.52,2024-08-25 10:13:00,Whole Foods,Whole Foods purchase,Groceries
user_0775,389.47,2024-07-15 22:04:00,Electricity Co.,Electricity Co. purchase,Utilities
user_0680,140.06,2024-09-24 09:34:00,Bank Transfer,Bank Transfer,Transfer
user_0820,12.81,2024-04-27 11:55:00,Doctor Visit,Doctor Visit purchase,Healthcare
user_0379,213.06,2024-04-02 17:49:00,Restaurant,Restaurant purchase,Entertainment
user_0547,441.87,2024-05-08 06:00:00,Landlord,Landlord purchase,Rent/Mortgage
user_0927,468.74,2024-06-22 16:17:00,P2P Transfer,P2P Transfer,Transfer
user_0831,137.75,2024-11-10 21:31:00,Con Edison,Con Edison purchase,Utilities
user_0914,496.69,2024-07-26 14:52:00,P2P Transfer,P2P Transfer,Transfer
user_0569,88.14,2024-10-03 16:17:00,Gaming Store,Gaming Store purchase,Entertainment
user_0344,443.83,2024-08-29 10:57:00,Mortgage,Mortgage purchase,Rent/Mortgage
user_0880,56.79,2024-09-21 12:04:00,H&M,H&M purchase,Shopping
user_0594,477.84,2024-11-24 03:30:00,PG&E,PG&E purchase,Utilities
user_0299,206.81,2024-08-02 22:41:00,Hospital,Hospital purchase,Healthcare
user_0129,238.95,2024-09-26 13:27:00,Misc,Misc purchase,Other
user_0001,44.72,2024-09-29 00:10:00,Concert Tickets,Concert Tickets purchase,Entertainment
user_0222,272.84,2024-06-28 21:46:00,Various,Various purchase,Other
user_0244,294.56,2024-06-04 08:15:00,Housing Co.,Housing Co. purchase,Rent/Mortgage
user_0184,487.13,2024-02-15 22:23:00,Walmart,Walmart purchase,Groceries
user_0830,388.09,2024-10-15 13:48:00,Department Store,Department Store purchase,Shopping
user_0937,53.48,2024-08-26 02:56:00,Various,Various purchase,Other
user_0386,439.12,2024-03-11 03:01:00,Concert Tickets,Concert Tickets purchase,Entertainment
user_0810,373.16,2024-06-12 15:32:00,Con Edison,Con Edison purchase,Utilities
user_0747,243.97,2024-10-27 02:59:00,Netflix,Netflix purchase,Entertainment
user_0221,157.08,2024-04-04 13:34:00,Metro,Metro purchase,Transport
user_0960,87.22,2024-10-24 04:34:00,Gas Company,Gas Company purchase,Utilities
user_0600,324.03,2024-09-25 06:23:00,Uncategorized,Uncategorized purchase,Other
user_0838,319.47,2024-03-25 19:53:00,Target,Target purchase,Groceries
user_0455,120.59,2024-07-27 03:43:00,Freelance Income,Freelance Income,Salary
user_0062,440.85,2024-03-13 17:44:00,Payroll,Payroll,Salary
user_0307,472.18,2024-10-05 00:20:00,Kroger,Kroger purchase,Groceries
user_0766,433.25,2024-07-13 01:42:00,Freelance Income,Freelance Income,Salary
user_0241,171.38,2024-01-04 02:46:00,P2P Transfer,P2P Transfer,Transfer
user_0396,420.38,2024-11-05 02:38:00,Freelance Income,Freelance Income,Salary
user_0633,90.9,2024-05-13 10:13:00,Payroll,Payroll,Salary
user_0548,219.06,2024-03-24 06:32:00,Misc,Misc purchase,Other
user_0740,428.67,2024-10-14 17:55:00,Rent Payment,Rent Payment purchase,Rent/Mortgage
user_0207,425.04,2024-07-13 05:11:00,Dentist,Dentist purchase,Healthcare
user_0687,226.31,2024-01-26 00:39:00,Walmart,Walmart purchase,Groceries
user_0233,246.67,2024-05-12 23:12:00,Pharmacy,Pharmacy purchase,Healthcare
user_0805,462.26,2024-09-28 20:37:00,Online Shop,Online Shop purchase,Shopping
user_0035,187.27,2024-05-17 10:04:00,Misc,Misc purchase,Other
user_0647,109.06,2024-07-18 23:12:00,Doctor Visit,Doctor Visit purchase,Healthcare
user_0555,120.08,2024-09-01 08:37:00,Metro,Metro purchase,Transport
user_0429,309.68,2024-03-17 21:53:00,Freelance Income,Freelance Income,Salary
user_0653,414.38,2024-06-17 12:24:00,Gaming Store,Gaming Store purchase,Entertainment
user_0642,336.23,2024-08-22 12:59:00,Target,Target purchase,Groceries
user_0988,156.4,2024-07-02 15:47:00,Gas Station,Gas Station purchase,Transport
user_0105,221.81,2024-01-06 23:30:00,Netflix,Netflix purchase,Entertainment
user_0909,469.35,2024-05-20 11:59:00,Doctor Visit,Doctor Visit purchase,Healthcare
user_0051,290.04,2024-09-20 05:15:00,Payroll,Payroll,Salary
user_0255,158.28,2024-05-01 13:21:00,Bank Transfer,Bank Transfer,Transfer
user_0522,73.41,2024-01-28 20:46:00,H&M,H&M purchase,Shopping
user_0238,183.82,2024-11-05 04:53:00,Bank Transfer,Bank Transfer,Transfer
user_0692,272.07,2024-05-16 16:17:00,Employer,Employer,Salary
user_0093,359.31,2024-08-05 19:41:00,Misc,Misc purchase,Other
user_0582,152.02,2024-02-16 23:52:00,Online Shop,Online Shop purchase,Shopping
user_0049,5.62,2024-03-26 17:44:00,Zara,Zara purchase,Shopping
user_0368,413.12,2024-08-26 03:47:00,P2P Transfer,P2P Transfer,Transfer
user_0584,245.3,2024-10-15 21:49:00,Online Shop,Online Shop purchase,Shopping
user_0469,230.71,2024-09-05 06:52:00,Water Bill,Water Bill purchase,Utilities
user_0376,246.18,2024-05-21 00:08:00,Whole Foods,Whole Foods purchase,Groceries
user_0159,415.22,2024-09-24 09:40:00,Various,Various purchase,Other
user_0796,458.7,2024-05-20 13:35:00,Various,Various purchase,Other
user_0014,104.53,2024-09-27 22:52:00,Electricity Co.,Electricity Co. purchase,Utilities
user_0183,268.49,2024-01-02 03:02:00,Bus Ticket,Bus Ticket purchase,Transport
user_0398,446.34,2024-09-24 19:56:00,Mortgage,Mortgage purchase,Rent/Mortgage
user_0386,129.42,2024-02-13 10:44:00,Various,Various purchase,Other
user_0882,24.03,2024-07-11 17:21:00,Taxi,Taxi purchase,Transport
user_0864,122.83,2024-08-08 19:51:00,P2P Transfer,P2P Transfer,Transfer
user_0984,213.48,2024-06-17 01:27:00,Rent Payment,Rent Payment purchase,Rent/Mortgage
user_0080,276.69,2024-03-24 04:11:00,Rent Payment,Rent Payment purchase,Rent/Mortgage
user_0010,170.25,2024-09-11 09:49:00,Trader Joe's,Trader Joe's purchase,Groceries
user_0296,138.8,2024-03-12 10:38:00,Dentist,Dentist purchase,Healthcare
user_0182,22.75,2024-07-17 19:50:00,Restaurant,Restaurant purchase,Entertainment
user_0066,371.72,2024-07-29 12:33:00,Amazon,Amazon purchase,Shopping
user_0242,153.14,2024-02-28 09:34:00,Landlord,Landlord purchase,Rent/Mortgage
user_0014,362.34,2024-10-11 10:06:00,Online Shop,Online Shop purchase,Shopping
user_0565,334.24,2024-11-25 16:50:00,Local Grocer,Local Grocer purchase,Groceries
user_0545,471.1,2024-04-07 22:26:00,Misc,Misc purchase,Other
user_0524,77.48,2024-11-07 16:08:00,Kroger,Kroger purchase,Groceries
user_0735,153.53,2024-03-02 05:54:00,Employer,Employer,Salary
user_0963,189.2,2024-06-17 16:29:00,Amazon,Amazon purchase,Shopping
user_0899,311.56,2024-04-22 01:16:00,P2P Transfer,P2P Transfer,Transfer
user_0157,398.28,2024-09-14 07:40:00,Bar,Bar purchase,Entertainment
user_0861,300.74,2024-02-04 22:22:00,Uncategorized,Uncategorized purchase,Other
user_0387,490.84,2024-08-13 19:16:00,Bus Ticket,Bus Ticket purchase,Transport
user_0907,137.02,2024-07-21 08:56:00,Pharmacy,Pharmacy purchase,Healthcare
user_0691,294.91,2024-11-30 15:55:00,Local Grocer,Local Grocer purchase,Groceries
user_0042,64.2,2024-06-22 13:18:00,Pharmacy,Pharmacy purchase,Healthcare
user_0582,13.52,2024-11-14 14:33:00,Local Grocer,Local Grocer purchase,Groceries
user_0861,465.55,2024-06-29 09:09:00,PG&E,PG&E purchase,Utilities
user_0265,349.72,2024-12-11 08:07:00,Bank Transfer,Bank Transfer,Transfer
user_0834,282.04,2024-12-02 21:20:00,P2P Transfer,P2P Transfer,Transfer
user_0864,398.69,2024-04-27 17:00:00,PG&E,PG&E purchase,Utilities
user_0227,385.33,2024-03-25 06:35:00,P2P Transfer,P2P Transfer,Transfer
user_0011,60.16,2024-06-04 01:13:00,Cinema,Cinema purchase,Entertainment
user_0632,343.43,2024-08-24 03:33:00,Taxi,Taxi purchase,Transport
user_0575,314.99,2024-03-18 05:35:00,Zara,Zara purchase,Shopping
user_0566,53.0,2024-02-25 11:05:00,Employer,Employer,Salary
user_0188,342.72,2024-08-31 08:36:00,Rent Payment,Rent Payment purchase,Rent/Mortgage
user_0806,36.93,2024-07-04 15:11:00,Housing Co.,Housing Co. purchase,Rent/Mortgage
user_0730,164.43,2024-05-22 18:49:00,Rent Payment,Rent Payment purchase,Rent/Mortgage
user_0069,205.68,2024-10-17 09:14:00,Trader Joe's,Trader Joe's purchase,Groceries
user_0275,480.11,2024-02-28 21:35:00,Online Shop,Online Shop purchase,Shopping
user_0653,412.35,2024-06-02 08:34:00,Restaurant,Restaurant purchase,Entertainment
user_0551,106.26,2024-01-01 04:31:00,P2P Transfer,P2P Transfer,Transfer
user_0320,436.64,2024-02-17 14:14:00,Lyft,Lyft purchase,Transport
user_0840,140.26,2024-05-21 18:55:00,Various,Various purchase,Other
user_0108,334.85,2024-10-21 23:59:00,Various,Various purchase,Other
user_0304,314.65,2024-12-22 00:28:00,Dentist,Dentist purchase,Healthcare
user_0089,184.22,2024-04-25 10:02:00,Uncategorized,Uncategorized purchase,Other
user_0562,252.37,2024-11-27 19:57:00,Various,Various purchase,Other
user_0087,355.37,2024-12-05 06:35:00,Rent Payment,Rent Payment purchase,Rent/Mortgage
user_0186,106.04,2024-12-19 13:40:00,Electricity Co.,Electricity Co. purchase,Utilities
user_0890,274.62,2024-08-13 08:36:00,Trader Joe's,Trader Joe's purchase,Groceries
user_0935,238.26,2024-09-27 02:30:00,Uncategorized,Uncategorized purchase,Other
user_0506,471.41,2024-03-15 00:50:00,Amazon,Amazon purchase,Shopping
user_0947,429.14,2024-07-03 02:46:00,Employer,Employer,Salary
user_0095,229.99,2024-10-05 00:59:00,Dentist,Dentist purchase,Healthcare
user_0143,394.07,2024-07-13 13:52:00,Electricity Co.,Electricity Co. purchase,Utilities
user_0360,48.92,2024-09-04 19:10:00,Taxi,Taxi purchase,Transport
user_0485,49.24,2024-01-02 05:00:00,Spotify,Spotify purchase,Entertainment
user_0744,314.65,2024-02-28 08:58:00,Gas Company,Gas Company purchase,Utilities
user_0024,371.42,2024-09-19 22:59:00,P2P Transfer,P2P Transfer,Transfer
user_0428,496.15,2024-01-15 23:12:00,Doctor Visit,Doctor Visit purchase,Healthcare
user_0322,40.55,2024-05-21 05:09:00,Lyft,Lyft purchase,Transport
user_0486,129.87,2024-08-18 09:16:00,Mortgage,Mortgage purchase,Rent/Mortgage
user_0851,298.59,2024-11-01 13:40:00,Hospital,Hospital purchase,Healthcare
user_0719,123.52,2024-02-23 01:34:00,Water Bill,Water Bill purchase,Utilities
user_0523,40.19,2024-11-08 19:48:00,Doctor Visit,Doctor Visit purchase,Healthcare
user_0363,280.25,2024-04-18 16:15:00,H&M,H&M purchase,Shopping
user_0239,257.52,2024-03-05 16:37:00,Mortgage,Mortgage purchase,Rent/Mortgage
user_0782,228.81,2024-01-03 03:43:00,Con Edison,Con Edison purchase,Utilities
user_0985,443.47,2024-05-23 13:57:00,Housing Co.,Housing Co. purchase,Rent/Mortgage
user_0541,327.08,2024-08-11 10:27:00,Lyft,Lyft purchase,Transport
